大分類,中分類,教材コード,リリース,コース名,時間,形式,内容,"キャリアアップ
措置の種別",レッスン数,テスト有,システムID
ITスキル,基礎知識,TECH05-017,〇,ビジネス活用のためのAI・人工知能入門講座,0:12:52,動画,AIの活用が進められる中、AIの概要はビジネスパーソンとして押さえておきたい知識です。本コースではAI・人工知能の概要、技術レベルでの分類、活用事例、特性での分類、AIの歴史・背景、ビッグデータ・IoTとのつながり、ディープラーニング、AI導入のステップとポイントなどを解説します。,職能別訓練,1,-,10292
ITスキル,AutoCAD,TECH06-001,〇,AutoCAD基礎講座1,1:00:19,動画,AutoCADの紹介と学習の進め方を確認した後、インターフェイス、ファイル操作など作図前の基本事項、コマンドの実行から終了までの基本操作とオブジェクトの選択方法、オブジェクトスナップ、極トラッキング、ダイナミック入力などの正確な作図に必要な作図補助機能について学びます。,職能別訓練,10,-,7744
ITスキル,AutoCAD,TECH06-002,〇,AutoCAD基礎講座2,1:42:33,動画,基本的な作図コマンドについて理解し、操作方法を学習します。図面を描く時によく使うオブジェクトが描画できるようになります。次に、基本的な修正コマンドについて理解し、操作方法を学習します。作図コマンドを使って描いたオブジェクトを修正することにより、CADの操作に慣れていきます。,職能別訓練,20,〇,7906
ITスキル,AutoCAD,TECH06-003,〇,AutoCAD基礎講座3,1:32:23,動画,基本のコマンドを使って、指定した寸法でオブジェクトを描く方法を学習します。また、指定した位置や大きさにオブジェクトを編集する方法も習得し、寸法に基づいた図面を描く事ができるようになります。次に、立体を図面で表現する方法「三面図」を学習し、投影図の基本をマスターします。,職能別訓練,8,〇,8102
ITスキル,AutoCAD,TECH06-004,〇,AutoCAD基礎講座4,1:12:18,動画,このコースではCADを使う上で重要な要素である「画層」や「プロパティ」について学びます。画層の作成方法、設定方法、コントロールについて学び、次に画層のプロパティやオブジェクトのプロパティについて理解し、作図演習をしながら、プロパティの変更による図面の修正方法を学習します。,職能別訓練,15,〇,8580
ITスキル,AutoCAD,TECH06-005,〇,実務で役立つAutoCAD講座  実務で必要な基礎知識,0:48:50,動画,自動保存設定、テンプレートファイル、オブジェクトのプロパティ、作図の大きさと印刷の大きさ、ブロック図形を挿入するときの予備知識など、AutoCADの実際の業務の作業において、絶対に知っておいてほしい基本的な考え方や用語を学びます。AutoCADの基礎知識を身に着けましょう。,職能別訓練,15,-,8582
ITスキル,AutoCAD,TECH06-006,〇,実務で役立つAutoCAD講座  作業効率を上げる便利な機能,0:28:48,動画,再作図、クイック選択、画像のグループフィルタなどの操作の効率を上げる方法、ポリラインなど図面容量を軽くする工夫、クリップボード機能など別の図面要素を利用する方法など、作業効率が上がる便利な機能について学びます。AutoCADの機能を使いこなして作業効率を向上させましょう。,職能別訓練,9,-,8583
ITスキル,AutoCAD,TECH06-007,〇,実務で役立つAutoCAD講座　簡単に学ぶ「レイアウト機能」,0:17:12,動画,ペーパー空間のレイアウト機能を使いこなすと、モデル空間のオブジェクトを1枚の用紙に複数の印刷尺度であらわし、印刷することができます。本コースではモデル空間とペーパー空間、レイアウト作業で扱う３つの場所、レイアウトでの線種尺度など、AutoCADのレイアウト機能について学びます。,職能別訓練,4,-,8584
ITスキル,AutoCAD,TECH06-008,〇,実務で役立つAutoCAD講座　簡単に学ぶ「異尺度対応機能」,0:14:06,動画,異尺度対応機能は印刷尺度に応じて注釈関連要素の大きさに戸惑わないための便利な機能です。本コースでは、レイアウトでの異尺度対応オブジェクト、異尺度対応オブジェクトの表示コントロール、注釈尺度が変更されたときに必要になるツールボタンなど、AutoCADの異尺度対応機能を学びます。,職能別訓練,4,-,8585
ITスキル,AutoCAD,TECH06-009,〇,AutoCAD基礎講座5,1:09:34,動画,このコースでは作成した図面に文字や寸法などの注釈を記入する方法を学びます。２種類の文字のコマンド、引出線などの記入及び、それらの形状をコントロールする文字スタイル、寸法スタイル、マルチ引出線スタイル管理について理解し注釈の外観をコントロールする方法を習得します。,職能別訓練,7,〇,8718
ITスキル,AutoCAD,TECH06-010,〇,AutoCAD基礎講座6,1:16:53,動画,このコースでは、作図する上で知っておくと便利な作成コマンド、修正コマンドを学習します。また、オブジェクトを構成要素に分解、逆に複数のオブジェクトを結合するコマンドや、クイック選択コマンドを学びます。演習も交えて、便利なコマンドを使って図面を作成できるようになりましょう。,職能別訓練,8,〇,9497
経理・財務,税務,ACCO01-002,〇,相続税と贈与税の知識,1:00:00,HTML,本コースでは、贈与税・相続税の基礎控除額、贈与税・相続税の計算とそれにかかる申告と納付、贈与税の課税財産・非課税財産、相続税本来の相続財産・みなし相続財産、相続税の非課税財産、死因贈与と負担付贈与の取り扱い、相続時精算課税制度（原則・特例）について解説します。,職能別訓練,1,〇,6181
経理・財務,税務,ACCO01-003,〇,相続税の基礎知識と相続税対策,1:00:00,HTML,相続税について、民法上の法定相続人、相続税法上の法定相続人、遺言の種類とその有効性、遺留分が認められている人、遺言が必要となるケース、相続税の計算、生命保険を活用した相続対策などの基礎知識を解説します。相続税対策として各種商品を販売する際に有効な知識の裏づけが得られます。,職能別訓練,1,〇,6182
経理・財務,税務,ACCO01-004,〇,相続税対策としての不動産保有のメリットを知る,1:00:00,HTML,本コースでは、現金や不動産の評価、不動産購入・建物の建築・建物の賃貸による評価の引き下げ、定期借地権、小規模宅地等評価減の特例など、相続税対策としての不動産保有について解説します。相続税対策として不動産を販売する際に有効な知識の裏づけを理解できるようになりましょう。,職能別訓練,1,〇,6183
経理・財務,税務,ACCO01-005,〇,入門　消費税法,1:00:00,HTML,本コースでは、消費税の概要、消費税の負担者、消費税の納付、税率の内訳、期中の経理方法、非課税取引、課税事業者、納付税額の計算方法、届出書など消費税の基礎的な知識について解説します。ビジネスにも関わる消費税について、基礎から理解して適切な処理ができるようになりましょう。,職能別訓練,1,〇,6184
経理・財務,税務,ACCO01-006,〇,会社と税金の関係を学ぶ,1:00:00,HTML,税金の支払いは、コンプライアンスの対象でもあり、企業の利益確定のための重要な要素でもあります。本講座では、法人税、消費税、法人住民税・法人事業税・地方法人特別税など企業が支払わなくてはならない税金について、計算法から申告書まで種類ごとに学習します。法人と税金の関係を理解しましょう。,職能別訓練,1,〇,6185
経理・財務,税務,ACCO01-007,〇,相続と税金の関係を学ぶ,1:00:00,HTML,事業継承対策としても相続税対策は必要です。本講座では、相続に伴って生じる税金について、相続税の概要から相続の流れ、相続税の納税義務者、課税財産・非課税財産、贈与税の概要・計算、相続時精算課税制度、財産評価の概要、不動産の評価、株式評価、金融商品等の評価など総合的に学びます。,職能別訓練,1,〇,6186
経理・財務,税務,ACCO01-008,〇,だれでもわかる消費税の基本,1:00:00,HTML,多岐にわたる税金のうち、特に企業経営上最も重要度を増している消費税について、消費税の仕組みから納税義務者、免税事業者、課税対象となる取引、不課税・非課税・輸出免税・輸入取引、仕入れ税額控除、課税売上割合、確定申告・納付の期限、中間申告、経理処理の方法などを解説します。,職能別訓練,1,〇,6188
経理・財務,税務,ACCO01-009,〇,よくわかる！会社を取り巻く税金,1:00:00,HTML,企業経営上不可欠な税金について、「税金とは？」ということから課税の基本原則、租税体系、法人税の概要や計算方法、住民税、事業税、固定資産税、印紙税、消費税など、体系的に解説します。会社を取り巻く様々な税金の基礎知識を身に着けて、適切な処理をできるようになりましょう。,職能別訓練,1,〇,6189
経理・財務,税務,ACCO01-010,〇,「確定申告を知れば税金が還付される！」その概要とは？,1:00:00,HTML,人事の仕事に関わる人であれば知っておきたい確定申告について、源泉徴収制度の仕組みや必要な書類、年末調整の適用対象者や必要な書類、年末調整では適用されない雑損・医療費・寄附金控除、副収入がある場合の確定申告などを解説します。確定申告の概要を理解し、日々の業務に活用しましょう。,職能別訓練,1,〇,6190
経理・財務,税務,ACCO01-011,〇,金融商品に関する税金の知識を学ぶ,1:00:00,HTML,個人向け国債の税金、債権の税金、株式の保有・売却にかかる税金、国内投資信託にかかる税金、外国株式・外国債券にかかる税金、外貨建て商品にかかる税金など、安全性の高い貯蓄型金融商品の税金について、事例を用いながら確認しましょう。金融商品にかかる損益通算や損失の繰越控除についても解説します。,職能別訓練,1,〇,6191
経理・財務,税務,ACCO01-012,〇,収入印紙と印紙税のイロハを学ぶ,1:00:00,HTML,収入印紙が貼ってある文書がありますが、その根拠を正しく理解していますか。本コースでは、印紙税・収入印紙の概要や、どのような取引・文書で収入印紙が必要となるのか、印紙税を収める対象者、印紙税の納税方法、印紙税の過怠税・非課税について解説します。収入印紙や印紙税の基礎知識を押さえましょう。,職能別訓練,1,〇,6192
経理・財務,税務,ACCO01-013,〇,誰にでもわかる金融商品取引法,1:00:00,HTML,会社にとって、金融商品による資産調達は避けて通れないものであり、ビジネスマンはその基本的な内容を理解することが求められています。本コースでは、金融商品取引法の概要や、法律における用語の定義、不正行為等に対する規制や罰則、内部者取引規制、相場操縦行為規制などについて解説します。,職能別訓練,1,〇,6168
経理・財務,簿記会計,ACCO02-004,〇,お金の流れが会社の基本,1:22:08,動画,財務諸表は、細かい部分にこだわるほど全体像が見えにくくなります。重要なのは、ざっくり読むためのツボを的確に押さえることです。本コースでは、財務諸表とは何かということから、会社のお金の流れ、貸借対照表の基本構造、流動・固定資産、財務諸表が読めるようになるポイントなどを解説します。,職能別訓練,8,-,3139
経理・財務,簿記会計,ACCO02-005,〇,ゼロから学ぶ簿記会計,1:00:00,HTML,簿記会計の知識は経理業務に携わる方だけでなく、ビジネスマンとして必須の知識といえます。本コースでは初めて簿記会計を学ぶ方を対象に、「簿記とは」ということから、簿記の基礎概念、ルールや用語の定義、仕訳帳の記入などの日常の手続き、決算に先立つ手続き、決算本手続きについて解説します。,職能別訓練,1,〇,6151
経理・財務,簿記会計,ACCO02-006,〇,簿記会計の基礎,1:00:00,HTML,本コースでは「ゼロから学ぶ簿記会計」よりも、さらに踏み込んだ内容まで学習します。貸借対照表・損益計算書の概要や構造、簿記の取引、仕訳の概要やルール、仕訳帳から総勘定元帳への転記、決算手続の試算表の作成、決算整理などについて解説します。資格取得の勉強にも活用することができます。,職能別訓練,1,〇,6152
経理・財務,簿記会計,ACCO02-007,〇,これから経理をめざす人のための企業会計を知る講座,1:00:00,HTML,これから経理を目指す方を対象に、会計の概要や情報の種類、現金出納や日時処理と月次処理、決算といった経理部の業務内容、他部署との連携の重要性や情報ごとの所管部署などについて解説します。関連する制度や考え方、日々の業務の具体的な内容を学び、仕事に対する理解を深めましょう。,職能別訓練,1,〇,6155
経理・財務,簿記会計,ACCO02-008,〇,交際費はどこまで認められるのか？,1:00:00,HTML,交際費という言葉は仕事の中でよく聞く言葉ですが、他にも聞く福利厚生費などと間違えるケースも多いようです。本コースでは、交際費等の概要や交際費等と法人税の関係、交際費等支出の対象者、交際費等の支出となるもの・ならないもの、交際費等と紛らわしい経費、交際費等の限度額について解説します。,職能別訓練,1,〇,6159
経理・財務,簿記会計,ACCO02-011,〇,連結会計を学ぶ,1:00:00,HTML,新会計制度の導入により、子会社を含めた連結会計での財務処理が求められるようになりました。これにより、連結会計のメリットデメリットを踏まえた経営が必要になってきました。本コースでは、連結財務諸表の概要や基本構造、資本連結、成果連結、持分法などについて解説します。,職能別訓練,1,〇,6166
経理・財務,簿記会計,ACCO02-012,〇,企業会計を取り巻く新制度とは？,1:00:00,HTML,会計には様々な法律が関係します。本コースでは、会計に関する会社法や金融商品取引法などの法律の目的・概要や企業会計原則、有価証券届出書や四半期報告書といった各種書類について解説します。企業会計を取り巻く法律や必要な手続き、書類について正しく理解し、注意すべきポイントを押さえましょう。,職能別訓練,1,〇,6169
経理・財務,簿記会計,ACCO02-013,〇,うっかりしがちな経理実務の常識を知る,1:00:00,HTML,帳簿・伝票の確認方法や訂正方法、現金・預金の残高確認、現金御残高に不一致が生じた場合の対応方法、当座預金が残高不足になりそうな場合の対処方法など、経理実務で知っておくべき常識を解説します。ミスを防ぐとともに、ミスが発生しても適切に対応できるようになりましょう。,職能別訓練,1,〇,6156
経理・財務,簿記会計,ACCO02-014,〇,もはや避けては通れない！国際会計基準入門,1:00:00,HTML,国際金融市場の発展に伴い、異なる国の企業の開示情報を比較するニーズが生じ、会計基準の国際的な統一が求められるようになっています。本コースでは、上場企業等において近年導入が予定されている国際財務報告基準（IFRS)について、背景や特徴、財務諸表の概要を学習します。,職能別訓練,1,〇,6171
経理・財務,簿記会計,ACCO02-015,〇,法人における生命保険の会計処理を学ぶ,1:00:00,HTML,中小企業の経営者の遺族のための保障や事業承継対策などのために法人契約の生命保険を活用することがあります。本コースでは、法人における生命保険の利用目的、定期保険・長期標準定期保険・逓増定期保険・終身保険・養老保険の具体的な経理処理、役員退職金慰労金規定の必要性などを解説します。,職能別訓練,1,〇,6176
経理・財務,簿記会計,ACCO02-016,〇,税金のしくみを知る,1:00:00,HTML,利益や所得を確定するうえで、税金の知識は欠かすことができません。本コースでは、税法の体系や税金の分類といった税金の基礎から、所得税・住民税・相続税・贈与税といった個人の税金、法人税・地方法人税・消費税・法人住民税といった法人の税金、不動産の税金など、税金について体系的に学びます。,職能別訓練,1,〇,6179
経理・財務,簿記会計,ACCO02-017,〇,管理会計の手法,1:00:00,HTML,管理会計は意思決定や組織のコントロールなどの経営管理に必要な情報を提供するためのものです。管理会計を学ぶことで、経営上の適切な意思決定を行うことができます。本コースでは管理会計の概要や利益計画及び利益統制や伝統的な原価管理、経営の意思決定の方法などについて解説します。,職能別訓練,1,〇,6196
経理・財務,財務諸表,ACCO03-001,〇,知識ゼロの人のための決算書入門,1:00:00,HTML,初めて決算書を学ぶ方を対象に、決算書の作成目的から決算書の種類、貸借対照表、流動資産と固定資産の違い、繰越資産、損益計算書、売上高、売上原価、売上総利益、営業利益、当期純利益、キャッシュフロー計算書などについて解説します。決算書の知識を体系的に身に着けましょう。,職能別訓練,1,〇,6154
経理・財務,財務諸表,ACCO03-002,〇,財務比率を使って決算書を見てみよう,1:00:00,HTML,財務諸表に示された情報を利用することで、企業の経営状況をある程度正確に理解することができます。本コースでは、財務比率分析のための前提知識や、売上原価率と売上高総利益率の分析などを解説します。あまり財務会計に詳しくない方でも、貸借対照表や損益計算書を見て分析できるようになります。,職能別訓練,1,〇,6194
経理・財務,財務諸表,ACCO03-003,〇,原価計算の手法,1:00:00,HTML,企業の利益を知るためには、製品を売り上げるためにいくらかかったのかということを求めなくてはなりません。本コースでは、原価計算の意味や製品等と原価の関係、製品原価の集計、原価管理と新しい原価計算、利益管理・意思決定などについて解説します。企業の利益を正しく把握できるようになりましょう。,職能別訓練,1,〇,6197
経理・財務,財務諸表,ACCO03-004,〇,財務分析の手法,1:00:00,HTML,企業の経営状況を客観的に把握する手法が財務分析です。財務分析には客観性があるだけでなく、他社との比較でも威力を発揮します。本コースでは、財務諸表とは具体的に何を指すのかという基本的な事項から、損益計算書を貸借対照表による分析、キャッシュ・フロー計算書の分析などを解説します。,職能別訓練,1,〇,6198
経理・財務,財務諸表,ACCO03-005,〇,誰でも読めるキャッシュ・フロー計算書,1:00:00,HTML,キャッシュフロー計算書は何のために作成されるのかということから、営業活動によるキャッシュフローの表示方法、商品等の販売収入・購入支出、従業員・役員への報酬支出、法人税支払いの取り扱い、連結キャッシュフロー計算書の作り方、営業・投資・財務活動によるキャッシュフローの分析などを解説します。,職能別訓練,1,〇,6199
経理・財務,財務諸表,ACCO03-006,〇,契約書の重要性,0:17:15,動画,企業にとって自社の権利を保護し、無用なトラブルから身を守るためにも、契約書は内容を吟味して締結したいものです。本コースでは、契約書で定めておくべきポイントを解説したのち、事務所開設の際に避けて通れない不動産賃貸契約を例に挙げて契約書の重要性を説いてまいります。,職能別訓練,3,-,6084
経理・財務,財務諸表,ACCO03-007,〇,決算書,1:00:00,HTML,決算書とは何かということから、決算書の種類や会計に関する法規等、貸借対照表のしくみ、損益計算書のしくみなどを解説します。決算書について体系的に学び、決算書から何がわかるかといったことや、貸借対照表・損益計算書・キャッシュフロー計算書の基本的な項目や構成を理解しましょう。,職能別訓練,1,〇,6449
経理・財務,財務諸表,ACCO03-008,〇,減価償却の方法と実務上の注意点を学ぶ,1:00:00,HTML,減価償却の必要性の確認や減価償却の目的と効果、定額法・定率法・生産高比例法・級数法による減価償却のメリット、減価償却を行うにあたっての注意点、法人税法上の有形減価償却資産の償却方法、法人法上の償却方法の選択などについて解説します。実務における注意点をおさえましょう。,職能別訓練,1,〇,6157
経理・財務,財務諸表,ACCO03-009,〇,固定資産の評価と財務諸表上の注意点を学ぶ,1:00:00,HTML,減損会計が必要となった背景から減損会計の手続き、減損損失を計上した場合の損益計算書・貸借対照表への計上と注記、株主会員制のゴルフ会員権の評価、預託金制のゴルフ会員権の評価などを解説します。減損会計の目的や手続き、減損会計による貸借対照表および損益計算書への影響を理解しましょう。,職能別訓練,1,〇,6158
経理・財務,財務諸表,ACCO03-010,〇,引当金の処理と財務諸表上の注意点を学ぶ,1:00:00,HTML,会計上、現金支出を伴わない様々な引当金を計上することで、財務的基盤を強化することができますが、税法では損金に算入できる引当金を制御しています。本コースでは、引当金計上の必要性や返品調整引当金が計上できる業種、退職給付引当金の会計上・税法上の処理、ポイント引当金などについて解説します。,職能別訓練,1,〇,6161
経理・財務,財務諸表,ACCO03-011,〇,約束手形と為替手形の取り扱いを学ぶ,1:00:00,HTML,商売をすると現金払いではどうしても融通が利かなくなる場合があります。本コースでは、どのような場合に売掛金・買掛金が発生するのかということから、約束手形・為替手形の概要、手形回収時・割引時の仕訳、裏書時の会計処理、貸倒引当金の損金処理、貸倒損失に関する損金処理などを解説します。,職能別訓練,1,〇,6162
経理・財務,財務諸表,ACCO03-012,〇,業績アップに活かす財務諸表の見方,1:00:00,HTML,会計の仕事は経理部門の仕事という時代は終わり、経理部門以外の業務に就く人でも製造原価から売上高や利益を考えたり、在庫の増減からキャッシュフローを考える必要があります。本コースでは財務諸表の役割や損益計算書の仕組み、キャッシュフロー計算書の仕組みなどを事例を交えて解説します。,職能別訓練,1,〇,6164
経理・財務,財務諸表,ACCO03-013,〇,はじめて学ぶ連結財務諸表入門,1:00:00,HTML,上場企業や一定の規模以上の会社の財務に必須である連結財務諸表について、連結財務諸表とは何かということから、連結財務諸表の作成を義務付けられている会社、連結の対象となる会社の範囲、資本連結以外の連結修正仕訳などを解説します。連結債務諸表の基礎知識を身に着けましょう。,職能別訓練,1,〇,6167
経理・財務,財務諸表,ACCO03-014,〇,金利係数表の活用術を学ぶ,1:00:00,HTML,係数表の使い方を知ると、金利変動による運用結果を簡単に知ることができます。本コースでは、係数表の使い方や作り方、終価係数表・現価係数表・年金終価係数表・減債基金係数表・資本回収係数表の具体的な運用方法などを解説します。金利の変化による運用成果の差を具体的に数字をあてはめながら学習しましょう。,職能別訓練,1,〇,6173
経理・財務,財務諸表,ACCO03-015,〇,事業承継に活かす生命保険の知識を学ぶ,1:00:00,HTML,相続税対策において生命保険の活用が有効です。本コースでは、同族・非上場会社が抱える事業承継の問題点や事業承継における自社株対策の必要性、非上場株式の相続税評価額、分割案・分割方法の検討、相続争い防止のためのポイント、生命保険金の課税関係、事業承継と生命保険の活用について解説します。,職能別訓練,1,〇,6174
経理・財務,財務諸表,ACCO03-027,〇,決算書速読術,1:41:49,動画,本コースでは、財務報告書の意義と構成から、貸借対照表の基本構造、流動資産、固定資産、資本余剰金の取崩し、損益計算書の基本構造、売上原価・売上総利益などについて、演習問題を交えて実践的に解説します。財務諸表をざっくり読むためのツボを理解して、財務諸表の全体像をつかみましょう。,職能別訓練,17,-,10478
経理・財務,財務諸表,ACCO03-028,〇,財務分析をやってみよう,1:03:20,動画,財務比率分析について、収益性指標、効率性指標、キャッシュサイクル、安全性指標、流動性指標、資本利益率の分解などを解説します。その使い方に習熟することで財務諸表を読むスキルを効率的に身につけます。財務諸表をパッと見た瞬間に気の利いた一言がいえるようになることを目指しましょう。,職能別訓練,9,-,10479
経理・財務,財務諸表,ACCO03-029,〇,キャッシュフロー計算書,1:03:34,動画,本コースでは、キャッシュフロー計算書の基本構造から、営業活動のキャッシュフロー、投資・財務活動によるキャッシュフロー、フリーキャッシュフロー、キャッシュフロー計算書の読み方を解説します。キャッシュフロー計算書を容易に読めるようになり、他者のキャッシュフロー計算書の理解度も測れるようになります。,職能別訓練,7,-,10480
経理・財務,財務諸表,ACCO03-030,〇,財務基礎講座,0:26:54,動画,"会社の決算書を利用して自社の数字を数年間分を見てみることをお勧めします。その場合、映像中にスライド化した貴社決算書を挿入したり、会社として従業員に意識してほしいポイントなどをスライド挿入することができます。

※本講座は2017年5月時点の情報を元に制作しています。",階層別訓練,1,-,13038
経理・財務,経理・財務（その他）,ACCO04-001,〇,FP実務と倫理について学ぶ,1:00:00,HTML,ファイナンシャルプランナーの仕事は、パーソナル・ファイナンシャル・プランニングを行うことです。本コースでは、パーソナル・ファイナンスの概要からプランニングの具体的な手順、FPにとって必要となる具体的な法律や諸規定の概要、実務や役割、将来像などについて解説します。,職能別訓練,1,〇,6178
経理・財務,経理・財務（その他）,ACCO04-002,〇,離婚と年金分割の仕組みと手続きを知る,1:00:00,HTML,近年になって中高齢者の離婚件数が増加し、老後の経済的生活の基盤となる公的年金が見直されました。本コースでは、年金分割制度導入の背景や年金分割の概要、合意・3号分割の概要とその違い、情報提供・合意分割・3号分割の請求手続の方法、遺族年金との比較、年金額の算出例などを解説します。,職能別訓練,1,〇,6177
経理・財務,経理・財務（その他）,ACCO04-003,〇,新信託法の活用法とは？,1:00:00,HTML,最近の経済情勢に合わせて、新信託法が制定されました。本コースでは、そもそも信託とはどういうものかということから新信託法の変更点、信託の併合及び分割の概要やポイント、限定責任信託の概要、委託者自身が受託者となることでできるようになること、信託の活用方法や今後の課題などを解説します。,職能別訓練,1,〇,6175
人事・労務・総務,人事,HUMA01-001,〇,成長する企業の人事戦略を知る,1:00:00,HTML,企業が成長していくには、優秀な従業員を雇うだけでなく、企業が従業員を惹きつける魅力を持っていることが重要です。本コースでは、労働市場の現状や成果主義の問題点、エンプロイメンタビリティ、ダイバーシティから得られる効果、多様性理解のプロセス、ダイバーシティの効果測定などについて解説します。,職能別訓練,1,〇,6289
人事・労務・総務,人事,HUMA01-002,〇,今さら聞けない採用実務のイロハを学ぶ,1:00:00,HTML,採用実務も募集によって気を付けるべきポイントが異なります。本コースでは、新卒・中卒・ベテラン・高年齢者採用時の募集方法や、それぞれの採用における注意事項や面接のポイント、履歴書と職務経歴書の見方、面接官の心構え、面接での質問禁止事項を解説します。採用実務の基本的な知識を身に着けましょう。,職能別訓練,1,〇,6250
人事・労務・総務,人事,HUMA01-003,〇,いませんか？名ばかり管理職（管理職の処遇を学ぶ）,1:00:00,HTML,十分な権限や裁量もないのに管理職として扱われ、残業手当も支給されないまま過酷な長時間労働を強いられる「名ばかり管理職」が世間で注目を集めています。本コースでは、名ばかり管理職を防止するための処遇に対するアプローチや管理監督者の3つの要素、法令違反とならないための対策などを解説します。,職能別訓練,1,〇,6251
人事・労務・総務,人事,HUMA01-005,〇,人材募集と採用の実際を知る,1:00:00,HTML,本コースでは、低コストで人を集める方法や企業が直接人を募集する際に気を付けるべきポイント、ネットを使って募集する方法、ハローワークを使う方法、募集するときにやるべきこと・やってはいけないことなどを解説します。企業がどのように人を集めるのか、集める際に注意するべきことを学びましょう。,職能別訓練,1,〇,6256
人事・労務・総務,人事,HUMA01-006,〇,退職と解雇のポイントとは？,1:00:00,HTML,企業が従業員を辞めさせたり、従業員が会社を辞める場合については、労働法において色々な概念・種類があります。本コースでは、退職と解雇の法的位置づけや解雇する場合の注意点、解雇が違法・適法とみなされるケースなどを解説します。解雇・退職について正しく理解しましょう。,職能別訓練,1,〇,6258
人事・労務・総務,人事,HUMA01-007,〇,パート・契約社員採用時のコンプライアンスとは？,1:00:00,HTML,本コースでは、求人の前に決めておく募集条件・労働条件、求人期間中と面接の際の注意点、採用を決定したとき・働き始めてからのコンプライアンス、正社員への転換など、パート・契約社員採用時に気を付けるべきポイントについて解説します。パート・契約社員採用の流れを正しく理解しましょう。,職能別訓練,1,〇,6259
人事・労務・総務,人事,HUMA01-008,〇,管理職のための評価面接の基礎知識,1:00:00,HTML,評価面接を効果的に実施することは企業の発展に繋がります。本コースでは、評価面接を実施する前にすべきことや評価面接の目標設定方法、評価基準設定のポイント、評価者の役割と責任、部下からの目標聴取のポイント、フィードバックの留意点、評価面接を成功させるポイントなどを解説します。,職能別訓練,1,〇,6282
人事・労務・総務,人事,HUMA01-009,〇,人事考課の基本的な考えを学ぶ,1:00:00,HTML,人事考課の導入は企業にとってなぜ必要なのか、正しく理解できていますか。本コースでは人事考課の目的や導入のポイント、考課内容、目標管理設定、人事考課と人物評価、人事制度で失敗しないためのポイント、人事考課の流れなどを解説します。人事考課の考え方や流れを理解しましょう。,職能別訓練,1,〇,6283
人事・労務・総務,人事,HUMA01-010,〇,目標管理制度が活きる、部下との対話法とは？,1:00:00,HTML,目標管理制度では面談やミーティングを活用してPDCサイクルを流すことが重要です。本コースでは、面談の基本や部下との面談のポイント、期首・期中・期末での面談手法、面談と業績評価、面談がうまくいかないときのテクニックなどを解説します。効率的かつ効果的な面談で部下の能力を引き出しましょう。,職能別訓練,1,〇,6284
人事・労務・総務,人事,HUMA01-012,〇,はじめての働き方改革,1:07:23,動画,「働く」をもっと良いものにする方法を学びます。テクノロジーを使った会議時間の削減や退社時間の計画の方法、新しい働き方を取り入れるためのオペレーションのステップ、イノベーションを産むために必要な「心理的安全性」などのカルチャーの育み方などについて、実践に役立つツールとともにご紹介します。,職能別訓練,15,-,9490
人事・労務・総務,人事,HUMA01-013,〇,システム思考とメンタルモデルから考えるハラスメント防止講座,0:47:19,動画,本講座では、ハラスメント防止をシステム思考やメンタルモデルという観点から考えていきます。ハラスメントが与える影響や自分の言動に意識できている領域と無意識な領域があることを確認し、最後に個人や組織に求められる行動を解説します。ハラスメント防止について学び、円滑な職場環境を築きましょう。,階層別訓練,5,-,12337
人事・労務・総務,人事,HUMA01-014,〇,映像で学ぶ評価面談,0:10:04,動画,部下の思いや考えを引き出しつつ、適切なフィードバックを行うことで、今後の成長を促すことのできる人事評価面談の仕方を身につけていただきます。​分かりやすい実演形式の映像を視聴しながらポイントを理解することで、即座に活用していただくことができるノウハウを御紹介します。​,職能別訓練,1,-,12544
人事・労務・総務,人事,HUMA01-015,〇,採用面接講座,0:10:29,動画,新しく人材を採用する際、本当に必要な人材はどのような人物なのか、面接でそれをどのように判断するのか、お困りではないでしょうか。本講座では、採用面接で応募者が採用基準に達しているかどうか、応募者自身のコンピテンシー（行動特性）を見抜くための、質問の仕方、評価の仕方を学びます。,職能別訓練,1,-,12545
人事・労務・総務,人事,HUMA01-016,〇,人材を育成する人事評価・人事考課講座,0:17:36,動画,本講座では、人事評価制度の基本から、目標の設定と管理のポイント、評価面談の流れから、ハロー効果などの評価で陥りがちな注意点を解説します。管理職が評価前に確認すべき内容を包括的におさえています。また被評価者が評価制度の基本を理解するためにもご活用いただけます。,職能別訓練,1,-,12546
人事・労務・総務,労務,HUMA02-001,〇,知っておきたい社会保険のキホン,0:12:29,動画,健康保険および厚生年金保険に関して、その概要から加入手続きの流れと注意点、標準報酬月額の算出方法、社会保険料の計算方法、従業員負担分の計算のポイント、賞与の取り扱いのほか、パート・アルバイトの保険加入についても解説します。社会保険の基本をしっかり理解しましょう。,職能別訓練,2,-,2980
人事・労務・総務,労務,HUMA02-002,〇,知っておきたい労働保険のキホン,0:13:40,動画,労働保険（労災保険と雇用保険）は、労働者を雇用する場合に国から加入が義務付けられている強制保険です。本コースでは、労災保険、雇用保険のそれぞれにおける具体的な内容から対象者、保険料の納付、加入手続きについて、簡潔に解説します。労働保険の基礎知識を身に着けましょう。,職能別訓練,3,-,2981
